Datetime,Party,Odds
2023-10-27 11:59:51.146121,Labor,1.60 
2023-10-27 11:59:51.146121,Coalition,2.40
2023-10-27 11:59:51.146121,Any Other Party,101.00
2023-10-28 11:58:06.782950,Labor,1.60
2023-10-28 11:58:06.782950,Coalition,2.40
2023-10-28 11:58:06.782950,Any Other Party,101.00
2023-10-29 11:57:08.458074,Labor,1.60
2023-10-29 11:57:08.458074,Coalition,2.40
2023-10-29 11:57:08.458074,Any Other Party,101.00
2023-10-30 11:57:06.284029,Labor,1.60
2023-10-30 11:57:06.284029,Coalition,2.40
2023-10-30 11:57:06.284029,Any Other Party,101.00
2023-10-31 11:57:06.321868,Labor,1.60
2023-10-31 11:57:06.321868,Coalition,2.40
2023-10-31 11:57:06.321868,Any Other Party,101.00
2023-11-01 11:57:07.121333,Labor,1.60
2023-11-01 11:57:07.121333,Coalition,2.40
2023-11-01 11:57:07.121333,Any Other Party,101.00
2023-11-02 11:57:07.993440,Labor,1.60
2023-11-02 11:57:07.993440,Coalition,2.40
2023-11-02 11:57:07.993440,Any Other Party,101.00
2023-11-03 11:57:13.037162,Labor,1.60
2023-11-03 11:57:13.037162,Coalition,2.40
2023-11-03 11:57:13.037162,Any Other Party,101.00
2023-11-04 11:57:07.990140,Labor,1.60
2023-11-04 11:57:07.990140,Coalition,2.40
2023-11-04 11:57:07.990140,Any Other Party,101.00
2023-11-05 11:57:08.608003,Labor,1.60
2023-11-05 11:57:08.608003,Coalition,2.40
2023-11-05 11:57:08.608003,Any Other Party,101.00
2023-11-06 11:57:08.321045,Labor,1.60
2023-11-06 11:57:08.321045,Coalition,2.40
2023-11-06 11:57:08.321045,Any Other Party,101.00
2023-11-07 11:57:09.191184,Labor,1.60
2023-11-07 11:57:09.191184,Coalition,2.40
2023-11-07 11:57:09.191184,Any Other Party,101.00
