Year Date        ALP   LP    LNP  NP    CLP  DLP  DEM   GRN   ON   UAP  Others GovtBefore GovtAfter Labor2pp
1946 28-Sep-1946 49.7  33.0  -    10.7  -    -    -     -     -    -    6.6    Labor      Labor     54.1
1949 10-Dec-1949 46.0  39.3  -    10.8  -    -    -     -     -    -    3.9    Labor      Coalition 49.0
1951 28-Apr-1951 47.7  40.5  -    9.7   -    -    -     -     -    -    2.1    Coalition  Coalition 49.3
1954 29-May-1954 50.1  38.5  -    8.5   -    -    -     -     -    -    2.9    Coalition  Coalition 50.7
1955 10-Dec-1955 44.7  39.7  -    7.9   -    5.1  -     -     -    -    2.6    Coalition  Coalition 45.8
1958 22-Nov-1958 42.9  37.1  -    9.3   -    9.4  -     -     -    -    1.3    Coalition  Coalition 45.9
1961 09-Dec-1961 48.0  33.5  -    8.5   -    8.7  -     -     -    -    1.4    Coalition  Coalition 50.5
1963 30-Nov-1963 45.5  37.1  -    8.9   -    7.4  -     -     -    -    1.0    Coalition  Coalition 47.4
1966 26-Nov-1966 40.0  40.1  -    9.8   -    7.3  -     -     -    -    2.7    Coalition  Coalition 43.1
1969 25-Oct-1969 47.0  34.8  -    8.6   -    6.0  -     -     -    -    3.7    Coalition  Coalition 50.2
1972 02-Dec-1972 49.6  32.0  -    9.4   -    5.2  -     -     -    -    3.7    Coalition  Labor     52.7
1974 18-May-1974 49.3  34.9  -    10.8  -    1.4  -     -     -    -    3.5    Labor      Labor     51.7
1975 13-Dec-1975 42.8  41.8  -    11.0  0.2  1.3  -     -     -    -    2.8    Labor      Coalition 44.3
1977 10-Dec-1977 39.6  38.1  -    9.8   0.2  1.4  9.4   -     -    -    1.4    Coalition  Coalition 45.4
1980 18-Oct-1980 45.1  37.4  -    8.6   0.2  0.3  6.6   -     -    -    1.7    Coalition  Coalition 49.6
1983 05-Mar-1983 49.5  34.4  -    9.0   0.2  0.2  5.0   -     -    -    1.7    Coalition  Labor     53.2
1984 01-Dec-1984 47.5  34.1  -    10.6  0.3  0.6  5.4   -     -    -    1.4    Labor      Labor     51.8
1987 11-Jul-1987 45.8  34.3  -    11.5  0.2  -    6.0   -     -    -    2.0    Labor      Labor     50.8
1990 24-Mar-1990 39.4  34.8  -    8.4   0.3  -    11.3  1.4   -    -    4.4    Labor      Labor     49.9
1993 13-Mar-1993 44.9  36.8  -    7.2   0.3  -    3.8   1.9   -    -    5.2    Labor      Labor     51.4
1996 02-Mar-1996 38.8  38.7  -    8.2   0.4  -    6.8   2.9   -    -    4.3    Labor      Coalition 46.4
1998 03-Oct-1998 40.1  33.9  -    5.3   0.3  -    5.1   2.6   8.4  -    4.2    Coalition  Coalition 51.0
2001 10-Nov-2001 37.8  37.1  -    5.6   0.3  -    5.4   5.0   4.3  -    4.4    Coalition  Coalition 49.0
2004 09-Oct-2004 37.6  40.5  -    5.9   0.3  -    1.2   7.2   1.2  -    6.0    Coalition  Coalition 47.26
2007 24-Nov-2007 43.4  36.3  -    5.5   0.3  -    0.7   7.8   0.3  -    5.8    Coalition  Labor     52.70
2010 21-Aug-2010 38.0  30.5  9.1  3.7   0.3  -    0.2   11.8  0.2  -    6.2    Labor      Labor     50.12
2013 07-Sep-2013 33.38 32.02 8.92 4.29  0.32 0.28 0.03  8.65  0.17 5.49 6.45   Labor      Coalition 46.51
2016 02-Jul-2016 34.73 28.67 8.52 4.61  0.24 0.02 -     10.23 1.29 0.00 11.68  Coalition  Coalition 49.64
2019 18-May-2019 33.34 27.99 8.67 4.51  0.27 0.13 0.01  10.40 3.08 3.43 8.17   Coalition  Coalition 48.47
2022 21-May-2022 32.58 23.89 8.00 3.60  0.20 -    -     12.25 4.96 4.12 10.40  Coalition  Labor     52.13
#YearDate        ALP   LP    LNP  NP    CLP  DLP  DEM   GRN   ON   UAP  Others GovtBefore GovtAfter Labor2pp

# https://en.wikipedia.org/wiki/Two-party-preferred_vote
# https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/pubs/rp/rp1617/FederalElectionResults
# https://tallyroom.aec.gov.au/HouseStateFirstPrefsByParty-27966-NAT.htm
# https://results.aec.gov.au/24310/Website/HouseStateFirstPrefsByParty-24310-NAT.htm
# https://results.aec.gov.au/20499/website/HouseStateFirstPrefsByParty-20499-NAT.htm
# https://results.aec.gov.au/17496/website/HouseStateFirstPrefsByParty-17496-NAT.htm
# https://results.aec.gov.au/15508/website/HouseStateFirstPrefsByParty-15508-NAT.htm
# https://results.aec.gov.au/13745/website/HouseStateFirstPrefsByParty-13745-NAT.htm
# https://results.aec.gov.au/12246/results/HouseStateFirstPrefsByParty-12246-NAT.htm
